Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,29-Jul-19,2109.05,2110.8,2142,2103.3,2125.1,2130,2123.42,1647090,3497461296,95152,670671,40.72
TCS,EQ,30-Jul-19,2130,2130,2185,2120.45,2176.3,2179.15,2162.72,2851672,6167374326,151588,1640143,57.52
TCS,EQ,31-Jul-19,2179.15,2171.75,2211.7,2147.15,2201,2205.7,2180.17,3000677,6541994700,132679,1406687,46.88
TCS,EQ,1-Aug-19,2205.7,2200,2217.5,2166.25,2178.3,2180.05,2195.1,2375236,5213870563,175166,1115202,46.95
TCS,EQ,2-Aug-19,2180.05,2173,2210,2165.5,2205,2205.3,2185.91,2500816,5466555712,154834,1184875,47.38
TCS,EQ,5-Aug-19,2205.3,2199.9,2252.25,2195.6,2240,2248.6,2241.19,3039682,6812507106,149146,1648531,54.23
TCS,EQ,6-Aug-19,2248.6,2232.8,2251.95,2211.45,2213.75,2214.9,2232.27,2885467,6441130303,181107,1254987,43.49
TCS,EQ,7-Aug-19,2214.9,2230,2238.5,2207.25,2218.9,2213.45,2223.14,2165362,4813906243,141079,1149124,53.07
TCS,EQ,8-Aug-19,2213.45,2228.9,2281,2218.9,2253.8,2258.1,2247.44,2073298,4659603954,139214,942856,45.48
TCS,EQ,9-Aug-19,2258.1,2260,2267.9,2241.35,2245,2246.25,2253.09,1744550,3930622404,119969,708230,40.6
TCS,EQ,13-Aug-19,2246.25,2245,2246.25,2194.3,2200,2199.45,2219.61,1647281,3656315691,157195,893401,54.23
TCS,EQ,14-Aug-19,2199.45,2181.1,2217.85,2167.4,2205.3,2204.4,2200.61,1945002,4280198913,122192,969990,49.87
TCS,EQ,16-Aug-19,2204.4,2241.4,2241.4,2143.25,2162,2165.1,2173.77,3755507,8163597624,191781,2121016,56.48
TCS,EQ,19-Aug-19,2165.1,2180,2186,2157.7,2166,2163,2171.81,974884,2117265897,80584,358199,36.74
TCS,EQ,20-Aug-19,2163,2172,2205,2166.5,2190,2186.75,2190.28,1843611,4038017157,104689,608831,33.02
TCS,EQ,21-Aug-19,2186.75,2184.95,2202,2182.25,2183,2186.2,2193.43,1214408,2663722478,75613,523155,43.08
TCS,EQ,22-Aug-19,2186.2,2187,2235.65,2170,2210,2216,2213.54,2131601,4718387346,106338,923535,43.33
TCS,EQ,23-Aug-19,2216,2214.95,2259.9,2213.9,2250,2247.7,2244.15,2826425,6342931920,142446,1480086,52.37
TCS,EQ,26-Aug-19,2247.7,2247,2282,2225,2267,2276.3,2259.83,2345475,5300365695,113243,1140315,48.62
TCS,EQ,27-Aug-19,2276.3,2270,2274.85,2229,2241.5,2236.5,2241.51,3432106,7693101227,182084,2396488,69.83
TCS,EQ,28-Aug-19,2236.5,2240,2252.15,2216,2238.35,2239.25,2233.18,1294621,2891125233,91252,538431,41.59
TCS,EQ,29-Aug-19,2239.25,2222.2,2248.2,2222.2,2232,2233.45,2235.21,1670652,3734260244,98341,761633,45.59
TCS,EQ,30-Aug-19,2233.45,2241,2266,2218,2259,2259.6,2241.92,2583625,5792267670,117933,1472256,56.98
TCS,EQ,3-Sep-19,2259.6,2270,2296.2,2236.95,2246,2251.6,2275.88,2545060,5792249619,131301,1257157,49.4
TCS,EQ,4-Sep-19,2251.6,2265,2270,2233,2245.2,2245.4,2248.41,2228092,5009661776,128138,1359618,61.02
TCS,EQ,5-Sep-19,2245.4,2242.2,2253.65,2207.3,2215.95,2215.3,2225.26,2055943,4575003143,133165,1200345,58.38
TCS,EQ,6-Sep-19,2215.3,2216,2233.5,2192.6,2198,2197.5,2204.18,1890550,4167105292,118713,853437,45.14
TCS,EQ,9-Sep-19,2197.5,2200,2202.85,2179.8,2185,2182.85,2188.09,1703945,3728385319,121273,677662,39.77
TCS,EQ,11-Sep-19,2182.85,2186,2195,2146.55,2151.6,2154,2162.64,2627440,5682202898,199136,1433413,54.56
TCS,EQ,12-Sep-19,2154,2155,2165,2120.35,2134.6,2133.6,2135.46,2118859,4524743295,138766,1080259,50.98
TCS,EQ,13-Sep-19,2133.6,2135,2157.95,2115.55,2143,2141.95,2135.83,2291174,4893564412,138321,873724,38.13
TCS,EQ,16-Sep-19,2141.95,2159.95,2173.4,2126.4,2150,2150,2151.17,2597948,5588631430,151943,1165596,44.87
TCS,EQ,17-Sep-19,2150,2154.95,2156.55,2105.6,2126.4,2122.65,2123.78,2796530,5939218334,121706,1594628,57.02
TCS,EQ,18-Sep-19,2122.65,2126.4,2142.95,2113.15,2141.15,2138.55,2133.02,1454663,3102820740,94064,674870,46.39
TCS,EQ,19-Sep-19,2138.55,2135,2135.8,2091,2096.9,2101.95,2103.74,1652691,3476827644,101537,791932,47.92
TCS,EQ,20-Sep-19,2101.95,2104.9,2129.4,2057,2069,2065.45,2083.7,6941979,14464976394,275363,4570451,65.84
TCS,EQ,23-Sep-19,2065.45,2099,2099,1975,2020,2015.8,2011.62,6323401,12720249671,293188,3672464,58.08
TCS,EQ,24-Sep-19,2015.8,2015,2061,2013,2047.3,2044.7,2045.07,4620978,9450241271,219776,2506661,54.25
TCS,EQ,25-Sep-19,2044.7,2065,2092,2060.05,2084,2088.45,2077.98,4002232,8316551654,205505,2508929,62.69
TCS,EQ,26-Sep-19,2088.45,2097.9,2107,2063,2089.6,2087.6,2084.45,4234281,8826127624,216311,2698499,63.73
TCS,EQ,27-Sep-19,2087.6,2085,2085.2,2051.4,2059,2056.15,2065.56,2046795,4227783648,125241,1044628,51.04
TCS,EQ,30-Sep-19,2056.15,2061.85,2104,2060,2097,2099.3,2090.07,2620039,5476076783,124092,1414661,53.99
TCS,EQ,1-Oct-19,2099.3,2095.95,2095.95,2039.7,2060.3,2059.95,2059.04,3342877,6883109001,170294,2098408,62.77
TCS,EQ,3-Oct-19,2059.95,2070,2081.15,2046.15,2056,2060.25,2065.47,2317618,4786975229,187925,1389047,59.93
TCS,EQ,4-Oct-19,2060.25,2060.6,2087.95,2054.95,2078,2079.35,2079.28,2163251,4498010283,128092,1442042,66.66
TCS,EQ,7-Oct-19,2079.35,2080,2094.5,2041,2046,2047.7,2062.27,2177916,4491446313,98775,1162115,53.36
TCS,EQ,9-Oct-19,2047.7,2060,2060,2015.5,2021.9,2020.1,2026.43,2066920,4188460128,107493,984558,47.63
TCS,EQ,10-Oct-19,2020.1,2028,2039.05,1997.1,2002.8,2004.45,2015.15,2881452,5806566989,125920,959388,33.3
